Date,Open
2015-02-18,244.6
2015-02-17,234.69
2015-02-16,235.61
2015-02-15,256.81
2015-02-14,237
2015-02-13,223.02
2015-02-12,219.57
2015-02-11,220.42
2015-02-10,220.91
2015-02-09,223.92
2015-02-08,228.78
2015-02-07,223.44
2015-02-06,216.46
2015-02-05,226.93
2015-02-04,227.94
2015-02-03,238.38
2015-02-02,226.93
2015-02-01,218.04
2015-01-31,228.96
2015-01-30,235.12
2015-01-29,236.07
2015-01-28,263.97
2015-01-27,274.76
2015-01-26,254.67
2015-01-25,249.33
2015-01-24,233.42
2015-01-23,234.08
2015-01-22,227.75
2015-01-21,211.94
2015-01-20,216.01
2015-01-19,211.8
2015-01-18,199.69
2015-01-17,208.02
2015-01-16,210.69
2015-01-15,172
2015-01-14,227.01
2015-01-13,267.1
2015-01-12,266.34
2015-01-11,275.6
2015-01-10,293.89
2015-01-09,272.45
2015-01-08,272.45
2015-01-07,264.55
2015-01-06,264.55
2015-01-05,264.55
2015-01-04,280
2015-01-03,315.42
2015-01-02,313.82
2015-01-01,321
2014-12-31,311.1
2014-12-30,313.36
2014-12-29,317.64
2014-12-28,316.48
2014-12-27,329.31
2014-12-26,319.85
2014-12-25,323.03
2014-12-24,336.9
2014-12-23,332.52
2014-12-22,320.88
2014-12-21,331.77
2014-12-20,318.58
2014-12-19,312.65
2014-12-18,321.96
2014-12-17,329.05
2014-12-16,348.85
2014-12-15,357.3
2014-12-14,351.67
2014-12-13,353.33
2014-12-12,348.88
2014-12-11,345.22
2014-12-10,352.02
2014-12-09,362.74
2014-12-08,376.03
2014-12-07,375.05
2014-12-06,376
2014-12-05,369.89
2014-12-04,376.61
2014-12-03,379.52
2014-12-02,376.53
2014-12-01,376.09
2014-11-30,375.48
2014-11-29,376
2014-11-28,369.98
2014-11-27,368.5
